id,mapping,mapping_period_ns,mapping_clock_source,operating_period_ns,clock_source,folder_period_ns,frequency_mhz,saif_status,saif_user_min_pct,saif_default_max_pct,saif_propagated_max_pct,internal_mw,switching_mw,dynamic_mw,leakage_mw,total_mw,energy_per_cycle_pj,cell_area,combinational_area,sequential_area,buf_inv_area,cells,combinational_cells,sequential_cells,buf_inv_cells,black_boxes,setup_slack_ns,setup_status,hold_slack_ns,hold_status,worst_path_arrival_ns,worst_path_required_ns,library_setup_adjustment_ns,startpoint,endpoint,path_group,clk_setup_tns_ns,clk_violating_paths,clk_logic_levels,notes,report_dir
1,baseline_sweep_0.9ns,0.9,dlx.sdc,1.428,dlx.sdc,1.428,700.280112044818,OK,100.0,0.0,0.0,15.200000000000001,3.41,18.61,0.707,19.317,27.584675999999998,33909.413454,19763.267959,14146.145494,1030.750004,21533.0,18378.0,3138.0,1742.0,0.0,0.06,MET,0.07,MET,1.32,1.39,-0.04,R_3139,R_2917,clk,0.0,0.0,28.0,,results\baseline_sweep_0.9ns\analysis_1.428ns
2,baseline_sweep_1.0ns,1.0,dlx.sdc,1.428,dlx.sdc,1.428,700.280112044818,OK,100.0,0.0,0.0,14.6,3.49,18.09,0.6859999999999999,18.776,26.812127999999998,32829.187505,19300.427989,13528.759517,1065.596004,21383.0,18366.0,3002.0,1813.0,0.0,0.07,MET,0.07,MET,1.32,1.39,-0.04,if_stage_inst/instruction_reg/reg_data_reg[31],R_1540,clk,0.0,0.0,25.0,,results\baseline_sweep_1.0ns\analysis_1.428ns
3,baseline_sweep_1.4ns,1.4,dlx.sdc,1.47,dlx.sdc,1.47,680.2721088435375,OK,100.0,0.0,0.0,14.8,3.3200000000000003,18.12,0.623,18.743000000000002,27.552210000000002,30656.233572,16393.580083,14262.653489,1154.174004,17747.0,14570.0,3167.0,1971.0,0.0,0.07,MET,0.06,MET,1.36,1.43,-0.04,R_4641,R_4258,clk,0.0,0.0,19.0,,results\baseline_sweep_1.4ns\analysis_1.470ns
4,baseline_sweep_1.5ns,1.5,dlx.sdc,1.575,dlx.sdc,1.575,634.9206349206349,OK,100.0,0.0,0.0,12.9,3.0500000000000003,15.950000000000001,0.598,16.548000000000002,26.063100000000002,29438.219608,15924.090093,13514.129515,1078.630005,17071.0,14065.0,3003.0,1854.0,0.0,0.08,MET,0.09,MET,1.47,1.54,-0.03,R_5215,R_4825,clk,0.0,0.0,26.0,,results\baseline_sweep_1.5ns\analysis_1.575ns
5,baseline_sweep_1.2ns,1.2,dlx.sdc,1.649,dlx.sdc,1.649,606.4281382656155,OK,100.0,0.0,0.0,12.3,2.98,15.280000000000001,0.65,15.930000000000001,26.268570000000004,31288.515551,18029.480021,13259.035531,1220.408005,19475.0,16522.0,2936.0,2078.0,0.0,0.08,MET,0.09,MET,1.53,1.61,-0.04,R_1081,R_157,clk,0.0,0.0,36.0,,results\baseline_sweep_1.2ns\analysis_1.649ns
6,baseline_sweep_1.6ns,1.6,dlx.sdc,1.68,dlx.sdc,1.68,595.2380952380953,OK,100.0,0.0,0.0,12.200000000000001,2.87,15.07,0.599,15.669,26.32392,29495.941612,15884.988101,13610.953511,1086.876006,17129.0,14101.0,3025.0,1915.0,0.0,0.08,MET,0.08,MET,1.57,1.65,-0.03,if_stage_inst/current_pc_reg/reg_data_reg[3],R_3120,clk,0.0,0.0,29.0,,results\baseline_sweep_1.6ns\analysis_1.680ns
7,clock_gated_w32_sweep_1.2ns,1.2,dlx.sdc,1.796,dlx.sdc,1.796,556.7928730512249,OK,100.0,0.0,0.0,4.84,3.0300000000000002,7.87,0.487,8.357,15.009172,24352.565643,12297.446053,12055.11959,765.016004,13558.0,10787.0,2684.0,1311.0,0.0,0.0,MET,0.05,MET,1.56,1.56,-0.03,id_stage_inst/rs2_addr_reg/reg_data_reg[2],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,29.0,,results\clock_gated_w32_sweep_1.2ns\analysis_1.796ns
8,clock_gated_w32_sweep_1.6ns,1.6,dlx.sdc,1.817,dlx.sdc,1.817,550.3577325261421,OK,100.0,0.0,0.0,4.8,3.0300000000000002,7.83,0.484,8.314,15.106538,24211.585646,12155.402057,12056.183589,707.294002,13476.0,10710.0,2686.0,1177.0,0.0,0.0,MET,0.05,MET,1.6,1.6,-0.05,id_stage_inst/rs2_addr_reg/reg_data_reg[0],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,32.0,,results\clock_gated_w32_sweep_1.6ns\analysis_1.817ns
9,clock_gated_w8_sweep_0.9ns,0.9,dlx.sdc,1.817,dlx.sdc,1.817,550.3577325261421,OK,100.0,0.0,0.0,4.8500000000000005,3.11,7.960000000000001,0.512,8.472000000000001,15.393624000000003,25547.171577,13500.82999,12046.341587,769.804003,14861.0,12103.0,2687.0,1316.0,0.0,0.0,MET,0.05,MET,1.58,1.58,-0.05,ex_stage_inst/rd_addr_reg/reg_data_reg[0],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,32.0,,results\clock_gated_w8_sweep_0.9ns\analysis_1.817ns
10,clock_gated_w1_sweep_1.2ns,1.2,dlx.sdc,1.838,dlx.sdc,1.838,544.069640914037,OK,100.0,0.0,0.0,4.5600000000000005,2.88,7.44,0.482,7.922000000000001,14.560636000000002,24365.333642,12187.322052,12178.01159,743.736002,13475.0,10615.0,2736.0,1272.0,0.0,0.0,MET,0.05,MET,1.67,1.67,-0.03,id_stage_inst/rs2_addr_reg/reg_data_reg[3],if_stage_inst/pc_reg_inst/clk_gate_reg_data_reg/latch,clk,0.0,0.0,33.0,,results\clock_gated_w1_sweep_1.2ns\analysis_1.838ns
