Mapping                     | Period ns | MHz     | Int mW | Switch mW | Dynamic mW | Leak mW | Total mW | Area    | Setup ns | Hold ns
----------------------------+-----------+---------+--------+-----------+------------+---------+----------+---------+----------+--------
baseline_sweep_0.9ns        | 1.428     | 700.28  | 15.2   | 3.41      | 18.61      | 0.707   | 19.317   | 33909.4 | 0.06     | 0.07   
baseline_sweep_1.0ns        | 1.428     | 700.28  | 14.6   | 3.49      | 18.09      | 0.686   | 18.776   | 32829.2 | 0.07     | 0.07   
baseline_sweep_1.4ns        | 1.47      | 680.272 | 14.8   | 3.32      | 18.12      | 0.623   | 18.743   | 30656.2 | 0.07     | 0.06   
baseline_sweep_1.5ns        | 1.575     | 634.921 | 12.9   | 3.05      | 15.95      | 0.598   | 16.548   | 29438.2 | 0.08     | 0.09   
baseline_sweep_1.2ns        | 1.649     | 606.428 | 12.3   | 2.98      | 15.28      | 0.65    | 15.93    | 31288.5 | 0.08     | 0.09   
baseline_sweep_1.6ns        | 1.68      | 595.238 | 12.2   | 2.87      | 15.07      | 0.599   | 15.669   | 29495.9 | 0.08     | 0.08   
clock_gated_w32_sweep_1.2ns | 1.796     | 556.793 | 4.84   | 3.03      | 7.87       | 0.487   | 8.357    | 24352.6 | 0        | 0.05   
clock_gated_w32_sweep_1.6ns | 1.817     | 550.358 | 4.8    | 3.03      | 7.83       | 0.484   | 8.314    | 24211.6 | 0        | 0.05   
clock_gated_w8_sweep_0.9ns  | 1.817     | 550.358 | 4.85   | 3.11      | 7.96       | 0.512   | 8.472    | 25547.2 | 0        | 0.05   
clock_gated_w1_sweep_1.2ns  | 1.838     | 544.07  | 4.56   | 2.88      | 7.44       | 0.482   | 7.922    | 24365.3 | 0        | 0.05   
clock_gated_w1_sweep_1.0ns  | 1.859     | 537.924 | 4.54   | 2.86      | 7.4        | 0.497   | 7.897    | 24981.9 | 0        | 0.05   
clock_gated_w8_sweep_1.0ns  | 1.859     | 537.924 | 4.75   | 3.01      | 7.76       | 0.507   | 8.267    | 25095.2 | 0        | 0.05   
clock_gated_w1_sweep_0.9ns  | 1.869     | 535.045 | 4.53   | 2.84      | 7.37       | 0.494   | 7.864    | 24867.8 | 0        | 0.05   
clock_gated_w1_sweep_1.6ns  | 1.88      | 531.915 | 4.44   | 2.82      | 7.26       | 0.478   | 7.738    | 24175.4 | 0        | 0.05   
baseline_sweep_1.8ns        | 1.89      | 529.101 | 10.6   | 2.49      | 13.09      | 0.583   | 13.673   | 28964.7 | 0.09     | 0.06   
clock_gated_w32_sweep_1.4ns | 1.89      | 529.101 | 4.63   | 2.89      | 7.52       | 0.485   | 8.005    | 24287.7 | 0        | 0.05   
clock_gated_w32_sweep_1.8ns | 1.89      | 529.101 | 4.56   | 2.87      | 7.43       | 0.471   | 7.901    | 23850.9 | 0        | 0.05   
clock_gated_w16_sweep_0.9ns | 1.901     | 526.039 | 4.63   | 2.9       | 7.53       | 0.504   | 8.034    | 25273.2 | 0        | 0.05   
clock_gated_w16_sweep_1.2ns | 1.901     | 526.039 | 4.59   | 2.85      | 7.44       | 0.481   | 7.921    | 24208.4 | 0        | 0.05   
clock_gated_w32_sweep_0.9ns | 1.901     | 526.039 | 4.63   | 2.89      | 7.52       | 0.529   | 8.049    | 25802   | 0        | 0.05   
clock_gated_w32_sweep_1.0ns | 1.901     | 526.039 | 4.59   | 2.87      | 7.46       | 0.501   | 7.961    | 25047.6 | 0        | 0.05   
clock_gated_w16_sweep_1.5ns | 1.911     | 523.286 | 4.53   | 2.86      | 7.39       | 0.483   | 7.873    | 24117.2 | 0        | 0.05   
clock_gated_w1_sweep_1.4ns  | 1.911     | 523.286 | 4.36   | 2.76      | 7.12       | 0.478   | 7.598    | 24131.3 | 0        | 0.05   
clock_gated_w1_sweep_1.8ns  | 1.911     | 523.286 | 4.38   | 2.79      | 7.17       | 0.476   | 7.646    | 24146.1 | 0        | 0.05   
clock_gated_w8_sweep_1.2ns  | 1.911     | 523.286 | 4.51   | 2.86      | 7.37       | 0.487   | 7.857    | 24513.5 | 0        | 0.05   
clock_gated_w8_sweep_1.4ns  | 1.911     | 523.286 | 4.46   | 2.86      | 7.32       | 0.475   | 7.795    | 24070.9 | 0        | 0.05   
clock_gated_w16_sweep_1.0ns | 1.932     | 517.598 | 4.55   | 2.83      | 7.38       | 0.497   | 7.877    | 24800.2 | 0        | 0.05   
clock_gated_w16_sweep_1.8ns | 1.943     | 514.668 | 4.46   | 2.82      | 7.28       | 0.477   | 7.757    | 24027.8 | 0        | 0.05   
clock_gated_w1_sweep_1.5ns  | 1.943     | 514.668 | 4.3    | 2.71      | 7.01       | 0.475   | 7.485    | 24045.9 | 0        | 0.05   
clock_gated_w32_sweep_1.5ns | 1.943     | 514.668 | 4.54   | 2.81      | 7.35       | 0.474   | 7.824    | 24009.7 | 0        | 0.05   
clock_gated_w8_sweep_1.6ns  | 1.953     | 512.033 | 4.38   | 2.83      | 7.21       | 0.477   | 7.687    | 24001.7 | 0        | 0.05   
clock_gated_w16_sweep_1.6ns | 1.974     | 506.586 | 4.38   | 2.78      | 7.16       | 0.477   | 7.637    | 23987.6 | 0        | 0.05   
clock_gated_w16_sweep_1.4ns | 2.027     | 493.34  | 4.26   | 2.67      | 6.93       | 0.481   | 7.411    | 24165   | 0        | 0.05   
clock_gated_w8_sweep_1.5ns  | 2.048     | 488.281 | 4.13   | 2.65      | 6.78       | 0.47    | 7.25     | 23883.9 | 0        | 0.05   
clock_gated_w8_sweep_1.8ns  | 2.048     | 488.281 | 4.13   | 2.65      | 6.78       | 0.474   | 7.254    | 23967.1 | 0        | 0.05   
